CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,1,Loss
12347,3,6,3598.21,1,Loss
12348,76,3,904.4399999999999,0,Loyalist
12349,19,1,1757.55,0,Loyalist
12350,311,1,334.40000000000003,0,Loyalist
12352,37,8,2506.0399999999995,1,Loss
12353,205,1,89.0,0,Loyalist
12354,233,1,1079.4,0,Loyalist
12355,215,1,459.4,0,Loyalist
12356,23,3,2811.4300000000003,1,Loss
12357,34,1,6207.669999999996,1,Loss
12358,2,2,1168.06,1,Loss
12359,58,4,6372.58,1,Loss
12360,53,3,2662.06,1,Loss
12361,288,1,189.89999999999998,0,Loyalist
12362,4,10,5226.2300000000005,1,Loss
12363,110,2,552.0,0,Loyalist
12364,8,4,1313.1,1,Loss
12365,292,2,641.38,0,Loyalist
12367,5,1,168.9,0,Loyalist
12370,52,2,1677.67,0,Loyalist
12371,45,2,1887.9600000000003,1,Loss
12372,72,3,1298.04,0,Loyalist
12373,312,1,364.6,0,Loyalist
12374,26,1,742.93,0,Loyalist
12375,11,2,457.50000000000006,0,Loyalist
12377,316,1,626.6,0,Loyalist
12378,130,1,4008.6200000000013,0,Loyalist
12379,82,2,852.24,0,Loyalist
12380,22,4,2724.81,1,Loss
12381,5,5,1845.31,1,Loss
12383,185,4,1249.84,0,Loyalist
12384,29,2,585.27,0,Loyalist
12386,338,1,143.0,0,Loyalist
12388,16,6,2780.6600000000003,1,Loss
12390,80,1,549.8399999999999,0,Loyalist
12391,22,1,460.88999999999993,0,Loyalist
12393,73,4,1582.6000000000001,1,Loss
12394,64,2,1272.48,0,Loyalist
12395,20,10,2338.7099999999996,1,Loss
12397,36,2,2409.8999999999996,1,Loss
12398,46,1,1635.6599999999999,0,Loyalist
12399,120,4,1108.65,0,Loyalist
12401,304,1,84.3,0,Loyalist
12402,324,1,225.6,0,Loyalist
12403,50,1,427.7,0,Loyalist
12405,149,1,1710.3900000000006,0,Loyalist
12406,23,2,3415.3,1,Loss
12407,50,5,1708.12,1,Loss
12408,33,5,2888.55,1,Loss
12409,79,3,11072.67,1,Loss
12410,309,2,693.3299999999999,0,Loyalist
12412,75,3,1226.88,0,Loyalist
12413,67,3,758.1000000000001,0,Loyalist
12414,218,3,562.4100000000001,0,Loyalist
12415,25,21,124914.53000000003,1,Loss
12417,4,8,3357.7599999999998,1,Loss
12418,113,1,668.5799999999997,0,Loyalist
12420,64,1,600.3900000000001,0,Loyalist
12421,16,4,807.0400000000001,1,Loss
12422,96,3,803.56,0,Loyalist
12423,1,7,1621.3800000000003,1,Loss
12424,163,2,1760.9600000000003,0,Loyalist
12425,79,1,777.1999999999999,0,Loyalist
12426,195,1,582.7299999999999,0,Loyalist
12427,22,2,522.3,0,Loyalist
12428,26,9,7956.46,1,Loss
12429,10,3,2468.9,1,Loss
12430,44,1,256.4,0,Loyalist
12431,36,13,5713.5,1,Loss
12432,43,5,5059.320000000001,1,Loss
12433,1,5,9588.750000000002,1,Loss
12434,85,2,806.1399999999999,0,Loyalist
12435,80,2,7829.889999999999,1,Loss
12436,100,1,509.01000000000005,0,Loyalist
12437,2,18,4951.41,1,Loss
12438,15,2,2906.85,1,Loss
12442,4,1,172.06,0,Loyalist
12444,22,5,5005.46,1,Loss
12445,23,1,133.4,0,Loyalist
12446,58,1,1002.3099999999998,0,Loyalist
12447,244,1,476.49,0,Loyalist
12448,45,1,449.4500000000001,0,Loyalist
12449,23,4,4067.29,1,Loss
12450,157,2,197.88,0,Loyalist
12451,11,5,9035.519999999999,1,Loss
12452,17,2,430.57000000000005,0,Loyalist
12453,135,1,707.0899999999999,0,Loyalist
12454,57,1,3528.34,0,Loyalist
12455,74,6,2466.8599999999997,1,Loss
12456,45,3,3181.04,1,Loss
12457,67,7,2363.23,1,Loss
12458,72,2,947.4000000000001,0,Loyalist
12461,95,2,826.8800000000001,0,Loyalist
12462,19,2,1189.59,1,Loss
12463,54,4,1344.7800000000002,1,Loss
12464,11,8,1212.0500000000002,1,Loss
12465,18,2,742.19,0,Loyalist
12468,188,2,729.54,0,Loyalist
12471,3,26,15949.689999999999,1,Loss
12472,33,6,4940.8099999999995,1,Loss
12473,30,5,3938.55,1,Loss
12474,18,18,7375.789999999999,1,Loss
12475,54,1,723.38,0,Loyalist
12476,16,10,6803.969999999998,1,Loss
12477,23,6,13219.739999999998,1,Loss
12478,4,1,680.9900000000002,0,Loyalist
12479,12,1,527.2,0,Loyalist
12480,29,4,3281.6300000000006,1,Loss
12481,23,8,4804.98,1,Loss
12483,18,8,2484.9800000000005,1,Loss
12484,33,6,4541.72,1,Loss
12488,10,3,1298.66,1,Loss
12489,337,1,334.92999999999995,0,Loyalist
12490,6,10,5417.930000000001,1,Loss
12491,39,1,460.4000000000001,0,Loyalist
12492,64,2,263.21,0,Loyalist
12493,166,2,433.74,0,Loyalist
12494,16,5,1183.55,1,Loss
12497,82,1,1043.1,0,Loyalist
12498,22,3,403.7,0,Loyalist
12500,24,11,4257.82,1,Loss
12501,337,1,2169.3899999999994,0,Loyalist
12502,96,5,3723.8700000000003,1,Loss
12504,19,2,482.04999999999995,0,Loyalist
12506,233,1,73.50000000000003,0,Loyalist
12507,135,3,1304.81,0,Loyalist
12508,27,2,398.27,0,Loyalist
12509,285,1,176.5,0,Loyalist
12510,143,2,982.57,0,Loyalist
12512,67,2,138.03000000000006,0,Loyalist
12513,113,1,612.2900000000001,0,Loyalist
12514,268,1,1017.6800000000002,0,Loyalist
12516,78,2,1312.06,0,Loyalist
12517,29,5,2502.84,1,Loss
12518,1,5,2056.89,1,Loss
12519,64,1,340.84,0,Loyalist
12520,80,5,2634.260000000001,1,Loss
12521,143,1,599.6800000000001,0,Loyalist
12522,40,2,192.72,0,Loyalist
12523,20,11,1789.7700000000002,1,Loss
12524,10,8,4485.72,1,Loss
12526,1,3,1316.6599999999999,1,Loss
12527,82,3,348.71000000000004,0,Loyalist
12528,10,6,1933.4799999999998,1,Loss
12530,60,4,1662.2800000000002,1,Loss
12531,15,1,125.22,0,Loyalist
12532,31,1,349.83,0,Loyalist
12534,131,1,1089.18,0,Loyalist
12535,92,2,716.3500000000001,0,Loyalist
12536,44,3,12601.830000000005,1,Loss
12538,30,1,363.95,0,Loyalist
12539,23,4,5568.349999999999,1,Loss
12540,20,16,12519.229999999998,1,Loss
12541,30,3,981.1799999999998,1,Loss
12544,37,1,372.7,0,Loyalist
12545,76,2,1000.39,0,Loyalist
12546,47,2,1161.5,0,Loyalist
12547,198,2,207.8,0,Loyalist
12548,167,1,95.19999999999999,0,Loyalist
12550,80,1,964.8299999999994,0,Loyalist
12552,39,2,437.81999999999994,0,Loyalist
12553,9,10,3692.28,1,Loss
12556,51,2,603.7099999999998,0,Loyalist
12557,17,4,11370.96,1,Loss
12558,8,1,269.96000000000004,0,Loyalist
12559,311,2,561.7099999999999,0,Loyalist
12560,6,3,2134.01,1,Loss
12561,303,1,238.85,0,Loyalist
12562,9,7,3781.74,1,Loss
12564,262,1,456.9000000000001,0,Loyalist
12565,289,1,145.92,0,Loyalist
12566,87,1,351.65000000000003,0,Loyalist
12567,23,8,7458.9,1,Loss
12569,3,32,4124.6900000000005,1,Loss
12571,40,2,519.61,0,Loyalist
12572,9,2,1020.4200000000003,1,Loss
12573,228,1,160.54,0,Loyalist
12574,316,1,218.45000000000002,0,Loyalist
12576,36,5,1315.83,1,Loss
12577,36,2,461.9100000000001,0,Loyalist
12578,22,2,2794.5099999999993,1,Loss
12579,79,1,440.41999999999996,0,Loyalist
12580,247,1,415.7,0,Loyalist
12581,40,1,197.70999999999998,0,Loyalist
12582,239,2,511.3599999999999,0,Loyalist
12583,3,14,6425.52,1,Loss
12584,4,9,2338.1499999999996,1,Loss
12585,235,1,777.25,0,Loyalist
12586,18,1,196.94,0,Loyalist
12587,8,1,144.0,0,Loyalist
12588,40,1,214.9,0,Loyalist
12589,29,2,646.68,0,Loyalist
12590,212,2,9864.260000000004,1,Loss
12591,318,1,452.84999999999985,0,Loyalist
12592,93,2,437.6,0,Loyalist
12593,109,3,418.1,0,Loyalist
12594,38,10,3338.2200000000003,1,Loss
12596,52,2,618.27,0,Loyalist
12597,20,4,3811.2200000000016,1,Loss
12598,10,8,3023.0800000000004,1,Loss
12599,30,7,1032.58,1,Loss
12600,29,8,2324.2400000000002,1,Loss
12601,190,5,577.0600000000001,0,Loyalist
12602,59,1,153.12000000000003,0,Loyalist
12603,22,1,739.1999999999999,0,Loyalist
12604,80,2,254.18,0,Loyalist
12607,61,1,1579.51,0,Loyalist
12609,79,3,1126.85,0,Loyalist
12610,23,5,2099.54,1,Loss
12611,53,1,1193.32,0,Loyalist
12612,75,1,704.0400000000001,0,Loyalist
12613,58,5,3344.38,1,Loss
12614,278,1,315.59999999999997,0,Loyalist
12615,3,4,2291.19,1,Loss
12616,96,2,713.3,0,Loyalist
12617,30,1,355.5300000000002,0,Loyalist
12618,22,1,177.31,0,Loyalist
12619,17,9,3641.2399999999993,1,Loss
12620,15,3,1339.4099999999999,1,Loss
12621,2,18,12306.02,1,Loss
12622,233,1,180.09999999999997,0,Loyalist
12623,277,1,305.1,0,Loyalist
12624,107,2,641.13,0,Loyalist
12625,212,2,2683.8199999999997,0,Loyalist
12626,24,9,6620.48,1,Loss
12627,11,7,4478.53,1,Loss
12628,5,3,786.46,1,Loss
12630,10,2,1270.88,1,Loss
12631,58,1,640.5000000000002,0,Loyalist
12633,59,4,2163.98,1,Loss
12635,90,2,1689.1799999999994,0,Loyalist
12637,68,8,6021.899999999998,1,Loss
12638,34,1,671.69,0,Loyalist
12639,239,1,486.1,0,Loyalist
12640,24,3,1174.58,1,Loss
12641,116,1,185.9,0,Loyalist
12642,26,3,1013.26,1,Loss
12643,129,6,3344.6400000000003,1,Loss
12644,130,1,477.9100000000001,0,Loyalist
12645,34,4,1775.1799999999998,1,Loss
12646,5,2,1346.9699999999998,1,Loss
12647,23,8,2529.22,1,Loss
12648,155,1,318.05,0,Loyalist
12649,108,3,623.51,0,Loyalist
12650,4,1,314.44,0,Loyalist
12651,335,1,114.00000000000003,0,Loyalist
12652,332,1,919.9799999999998,0,Loyalist
12653,149,2,2209.85,0,Loyalist
12654,11,5,601.98,1,Loss
12656,18,5,4051.17,1,Loss
12657,12,4,1643.1799999999998,1,Loss
12658,19,1,686.0500000000001,0,Loyalist
12659,30,1,91.68,0,Loyalist
12660,12,1,245.10000000000002,0,Loyalist
12662,1,10,3588.3,1,Loss
12664,9,9,4881.88,1,Loss
12665,325,1,63.0,0,Loyalist
12667,59,1,620.13,0,Loyalist
12668,12,3,3337.28,1,Loss
12669,151,3,2744.03,1,Loss
12670,11,5,2996.0499999999997,1,Loss
12672,330,1,225.9,0,Loyalist
12673,6,2,610.52,1,Loss
12674,39,4,1970.6,1,Loss
12676,25,6,1331.39,1,Loss
12678,43,10,17407.180000000004,1,Loss
12679,59,4,1113.0200000000002,1,Loss
12680,1,4,862.8099999999998,1,Loss
12681,15,20,11669.43,1,Loss
12682,4,29,11212.929999999997,1,Loss
12683,5,13,7413.489999999999,1,Loss
12684,8,7,2283.63,1,Loss
12685,29,6,2863.08,1,Loss
12688,114,1,4873.810000000005,0,Loyalist
12689,26,2,1247.6100000000004,1,Loss
12690,206,1,389.00999999999993,0,Loyalist
12691,29,5,855.8,1,Loss
12693,128,4,855.91,0,Loyalist
12694,71,2,869.6699999999998,0,Loyalist
12695,8,4,582.1,1,Loss
12697,29,3,957.5900000000001,1,Loss
12700,8,4,4939.989999999998,1,Loss
12701,80,2,797.71,0,Loyalist
12702,20,1,219.0,0,Loyalist
12703,72,1,283.54999999999995,0,Loyalist
12704,8,8,2340.84,1,Loss
12705,16,8,6010.29,1,Loss
12707,292,1,603.42,0,Loyalist
12708,30,9,2516.4700000000003,1,Loss
12709,16,13,8420.83,1,Loss
12710,97,3,1149.0200000000004,0,Loyalist
